RA,Ano_Ref,Fase,Idade,Gênero,IAA,IEG,IPS,IDA,IPV,IAN,Mat,Por,Ing,IPP,Risco_Defasagem
RA-27,2022,6,17.0,Menino,0.0,7.6,8.1,8.0,9.111,5.0,7.7,6.3,10.0,,1
RA-28,2022,6,17.0,Menina,7.9,6.1,7.5,5.0,6.333,5.0,8.2,1.5,5.3,,1
RA-29,2022,6,17.0,Menino,0.0,4.0,8.8,3.7,7.611,5.0,6.3,1.1,3.8,,1
RA-30,2022,6,16.0,Menina,8.8,6.4,7.5,7.5,7.333,10.0,8.5,4.4,9.7,,0
RA-31,2022,6,17.0,Menina,10.0,9.5,9.4,8.0,10.0,5.0,9.0,5.7,9.3,,1
RA-32,2022,6,16.0,Menina,8.8,5.2,8.8,6.1,7.944,10.0,5.7,3.6,8.9,,0
RA-33,2022,6,17.0,Menina,0.0,4.6,7.5,4.8,6.0,5.0,9.0,1.6,3.7,,1
RA-34,2022,6,17.0,Menino,9.6,4.8,8.1,3.8,7.278,5.0,4.7,4.0,2.8,,1
RA-35,2022,6,17.0,Menina,10.0,9.6,9.4,8.5,10.0,5.0,9.0,7.1,9.3,,1
RA-36,2022,6,17.0,Menina,9.2,9.0,6.9,6.8,8.944,5.0,8.5,4.3,7.8,,1
RA-37,2022,6,17.0,Menina,0.0,5.4,5.0,5.9,5.222,5.0,2.3,5.3,10.0,,1
RA-38,2022,6,17.0,Menina,9.2,8.9,7.5,8.6,9.833,5.0,9.0,7.0,9.7,,1
RA-39,2022,6,16.0,Menina,0.0,4.8,6.9,6.9,6.111,10.0,7.7,5.1,7.8,,0
RA-40,2022,5,16.0,Menina,7.9,7.8,7.5,6.8,7.75,5.0,4.7,7.3,8.4,,1
RA-41,2022,5,17.0,Menino,9.2,6.1,5.0,5.6,4.375,5.0,6.3,2.5,8.0,,1
RA-42,2022,5,15.0,Menino,8.3,7.9,5.6,4.8,6.083,10.0,3.7,4.5,6.2,,0
RA-43,2022,5,16.0,Menina,6.3,6.5,5.6,4.3,5.958,5.0,4.0,5.8,3.2,,1
RA-44,2022,5,17.0,Menina,5.0,5.9,7.5,3.0,7.292,5.0,2.3,3.5,3.2,,1
RA-45,2022,5,15.0,Menina,7.9,8.9,5.6,6.8,7.417,10.0,6.3,5.2,8.8,,0
RA-46,2022,5,17.0,Menina,8.8,8.4,6.3,2.1,7.083,5.0,2.8,2.8,0.7,,1
RA-47,2022,5,17.0,Menina,7.9,6.3,7.5,2.1,7.042,5.0,2.5,2.2,1.5,,1
RA-48,2022,5,15.0,Menina,6.7,8.4,7.5,8.1,8.5,10.0,6.7,8.0,9.5,,0
RA-49,2022,5,17.0,Menina,7.5,7.4,7.5,3.9,7.042,5.0,1.5,4.2,6.2,,1
RA-50,2022,5,18.0,Menina,7.5,8.4,7.5,7.8,7.542,2.5,6.5,7.3,9.7,,1
RA-51,2022,5,17.0,Menina,8.8,7.6,7.5,5.0,6.5,5.0,4.5,4.5,6.0,,1
RA-52,2022,5,13.0,Menino,9.6,8.9,7.5,6.2,7.5,10.0,3.3,6.3,8.8,,0
RA-53,2022,5,17.0,Menino,9.2,7.0,7.5,7.0,6.458,5.0,6.0,8.0,,,1
RA-54,2022,5,16.0,Menina,7.9,6.9,7.5,4.8,6.125,5.0,3.0,6.5,,,1
RA-55,2022,5,16.0,Menina,7.1,7.6,5.6,7.5,6.5,5.0,6.7,7.8,7.9,,1
RA-56,2022,5,15.0,Menina,10.0,10.0,7.5,7.0,8.25,10.0,4.5,6.5,10.0,,0
RA-57,2022,5,16.0,Menino,7.1,8.1,5.6,8.4,7.875,5.0,9.0,7.0,9.3,,1
RA-58,2022,5,15.0,Menino,9.6,9.2,6.3,7.2,8.125,10.0,4.5,8.0,9.0,,0
RA-59,2022,5,17.0,Menino,9.2,9.3,7.5,7.2,7.917,5.0,7.0,5.7,8.8,,1
RA-60,2022,5,18.0,Menina,6.7,6.0,7.5,4.9,6.167,2.5,5.0,6.2,3.5,,1
RA-61,2022,5,15.0,Menino,9.2,7.4,7.5,5.8,7.875,10.0,1.7,6.3,9.3,,0
RA-62,2022,5,17.0,Menino,8.8,9.4,7.5,9.3,7.25,5.0,8.5,10.0,,,1
RA-63,2022,5,16.0,Menino,8.3,9.1,8.8,8.7,9.417,5.0,8.2,8.2,9.7,,1
RA-64,2022,5,16.0,Menino,7.1,8.1,8.1,7.5,8.25,5.0,4.8,8.2,9.4,,1
RA-65,2022,5,17.0,Menina,8.3,7.7,7.5,9.3,7.875,5.0,9.0,9.5,9.5,,1
RA-66,2022,5,17.0,Menina,7.5,5.6,7.5,4.5,5.917,5.0,3.0,6.0,,,1
RA-67,2022,5,16.0,Menina,5.8,3.0,7.5,3.6,6.889,5.0,3.0,4.2,3.5,,1
RA-68,2022,5,16.0,Menino,8.3,6.0,7.5,4.0,7.944,5.0,4.7,4.8,2.7,,1
RA-69,2022,5,16.0,Menino,8.3,6.1,7.5,2.5,6.167,5.0,4.7,2.6,0.3,,1
RA-70,2022,5,16.0,Menina,8.8,6.6,5.0,2.9,6.111,5.0,5.7,2.9,0.2,,1
RA-71,2022,5,17.0,Menina,7.9,2.0,7.5,1.2,5.833,5.0,1.3,2.2,0.0,,1
RA-72,2022,5,17.0,Menina,8.3,7.5,7.5,7.8,8.667,5.0,7.5,7.8,8.0,,1
RA-73,2022,5,17.0,Menina,7.1,3.0,7.5,3.3,7.278,5.0,4.5,3.0,2.3,,1
RA-74,2022,5,16.0,Menino,9.6,3.3,7.5,2.0,5.833,5.0,6.0,0.0,0.0,,1
RA-75,2022,5,16.0,Menina,5.4,3.8,6.3,0.0,4.625,5.0,0.0,0.0,,,1
RA-76,2022,5,15.0,Menina,10.0,9.1,8.1,8.7,9.292,10.0,9.3,8.3,8.4,,0
RA-77,2022,5,16.0,Menino,7.1,2.7,5.0,0.7,4.625,5.0,0.3,1.8,0.0,,1
RA-78,2022,5,17.0,Menino,8.3,6.6,5.6,7.2,8.0,5.0,8.7,5.7,7.3,,1
RA-79,2022,5,16.0,Menina,5.4,6.3,5.6,8.9,7.292,5.0,9.5,7.7,9.5,,1
RA-80,2022,5,16.0,Menina,9.2,8.3,5.0,7.1,7.625,5.0,6.5,7.7,7.3,,1
RA-81,2022,5,14.0,Menina,9.2,9.2,5.0,6.0,7.458,10.0,5.5,5.2,7.3,,0
RA-82,2022,5,17.0,Menina,8.8,6.8,7.5,5.5,6.417,5.0,6.0,5.0,,,1
RA-83,2022,5,17.0,Menina,7.9,6.8,7.5,6.8,5.958,5.0,6.0,7.5,,,1
RA-84,2022,5,17.0,Menina,7.1,8.8,5.0,5.8,6.75,5.0,5.7,6.5,5.2,,1
RA-85,2022,5,15.0,Menino,6.7,7.3,5.0,4.3,5.833,10.0,5.0,3.5,,,0
RA-86,2022,5,16.0,Menino,7.5,9.6,5.6,6.7,8.458,5.0,6.2,7.2,6.9,,1
RA-87,2022,5,15.0,Menino,8.3,9.6,7.5,8.8,8.5,10.0,8.3,8.0,10.0,,0
RA-88,2022,5,17.0,Menino,7.1,9.2,5.6,6.5,9.208,5.0,6.8,6.2,6.4,,1
RA-89,2022,5,16.0,Menino,9.6,7.8,7.5,5.9,8.0,5.0,7.5,5.7,4.7,,1
RA-90,2022,5,13.0,Menina,10.0,9.7,9.4,8.5,9.75,10.0,7.7,8.0,9.8,,0
RA-91,2022,5,16.0,Menina,9.2,5.7,5.6,6.6,7.125,5.0,5.5,5.7,8.5,,1
RA-92,2022,5,16.0,Menina,9.2,7.1,5.0,7.4,6.667,5.0,7.8,5.5,8.8,,1
RA-93,2022,5,15.0,Menina,8.3,9.7,8.1,8.5,9.083,10.0,8.8,8.3,8.4,,0
RA-94,2022,5,15.0,Menina,8.3,9.6,8.1,7.7,9.583,10.0,7.0,6.7,9.5,,0
RA-95,2022,5,17.0,Menina,8.3,6.6,7.5,4.8,6.292,5.0,6.0,8.0,0.5,,1
RA-96,2022,5,16.0,Menino,9.2,7.8,6.9,6.7,8.5,5.0,5.7,6.5,8.0,,1
RA-97,2022,5,15.0,Menina,7.5,8.8,5.0,6.9,6.292,10.0,5.3,6.7,8.8,,0
RA-98,2022,5,15.0,Menina,8.8,10.0,9.4,8.5,9.667,10.0,8.4,8.2,8.9,,0
RA-99,2022,5,16.0,Menino,8.8,6.3,7.5,5.0,5.833,5.0,5.7,3.4,5.8,,1
RA-100,2022,4,13.0,Menina,8.8,7.8,5.0,7.6,7.25,10.0,7.0,7.8,8.1,,0
RA-101,2022,4,15.0,Menina,7.9,8.3,7.5,7.6,6.833,5.0,7.2,6.5,9.2,,1
RA-102,2022,4,14.0,Menino,6.7,7.7,6.9,5.7,6.0,10.0,4.7,6.8,5.5,,0
RA-103,2022,4,13.0,Menina,7.9,8.7,7.5,7.3,7.708,10.0,7.3,7.3,7.3,,0
RA-104,2022,4,18.0,Menino,7.9,8.7,7.5,3.7,6.708,2.5,4.8,5.8,0.3,,1
RA-105,2022,4,17.0,Menino,7.9,8.2,5.6,6.7,7.417,2.5,7.2,6.2,6.8,,1
RA-106,2022,4,15.0,Menina,9.2,8.0,9.4,7.4,8.375,5.0,7.8,7.2,7.2,,1
RA-107,2022,4,15.0,Menina,7.5,6.4,7.5,4.6,6.5,5.0,3.3,4.3,6.0,,1
RA-108,2022,4,17.0,Menina,4.6,7.7,5.0,5.0,6.125,2.5,3.0,5.8,6.2,,1
RA-109,2022,4,16.0,Menino,8.8,10.0,8.8,8.4,8.667,5.0,7.8,7.5,9.9,,1
RA-110,2022,4,14.0,Menino,9.2,9.7,5.6,6.7,8.0,10.0,8.3,5.7,6.0,,0
RA-111,2022,4,13.0,Menina,7.5,9.4,8.1,8.0,8.667,10.0,6.7,7.5,9.7,,0
RA-112,2022,4,15.0,Menina,7.9,7.8,6.3,8.5,8.833,5.0,9.0,7.5,9.1,,1
RA-113,2022,4,15.0,Menina,0.0,0.0,5.0,3.7,3.792,5.0,3.3,5.5,2.3,,1
RA-114,2022,4,16.0,Menino,7.9,6.3,7.5,5.3,5.0,5.0,6.0,4.5,,,1
RA-115,2022,4,16.0,Menina,8.3,6.8,6.3,3.8,5.583,5.0,3.0,5.7,2.7,,1
RA-116,2022,4,16.0,Menina,5.8,8.1,6.3,5.9,7.792,5.0,5.0,7.2,5.5,,1
RA-117,2022,4,15.0,Menina,7.9,6.3,6.9,6.1,7.417,5.0,4.7,6.7,7.0,,1
RA-118,2022,4,14.0,Menina,0.0,5.3,6.3,3.9,6.958,10.0,3.7,4.7,3.5,,0
RA-119,2022,4,14.0,Menina,8.3,8.2,5.6,5.4,7.875,10.0,5.7,7.0,3.4,,0
RA-120,2022,4,15.0,Menino,8.3,5.9,7.5,6.2,7.667,5.0,3.7,5.2,9.7,,1
RA-121,2022,4,16.0,Menina,7.1,8.4,6.3,7.2,7.625,5.0,5.7,6.8,9.0,,1
RA-122,2022,4,14.0,Menina,7.9,3.4,7.5,1.8,4.958,10.0,1.7,3.7,0.0,,0
RA-123,2022,4,16.0,Menino,7.9,8.6,5.6,6.5,7.292,5.0,7.3,6.3,5.9,,1
RA-124,2022,4,14.0,Menino,7.9,7.8,5.0,6.7,7.167,10.0,5.7,7.0,7.5,,0
RA-125,2022,4,15.0,Menina,8.8,8.5,7.5,7.1,7.75,5.0,5.0,7.2,9.2,,1
RA-126,2022,4,15.0,Menino,7.1,5.8,7.5,4.4,7.417,5.0,4.0,5.0,4.2,,1
RA-127,2022,4,14.0,Menina,7.5,8.7,7.5,7.9,8.125,10.0,7.7,7.7,8.3,,0
RA-128,2022,4,15.0,Menino,0.0,6.2,7.5,5.6,6.167,5.0,6.7,6.8,3.2,,1
RA-129,2022,4,15.0,Menino,6.7,6.4,7.5,6.7,7.792,5.0,6.0,5.3,8.7,,1
RA-130,2022,4,16.0,Menina,8.3,4.7,5.0,4.1,6.5,5.0,3.7,5.2,3.5,,1
RA-131,2022,4,15.0,Menina,8.8,9.0,5.6,5.6,7.75,5.0,6.0,6.5,4.2,,1
RA-132,2022,4,14.0,Menina,10.0,8.8,5.6,7.7,8.458,10.0,6.5,7.5,9.1,,0
RA-133,2022,4,15.0,Menina,7.9,7.1,7.5,5.6,7.625,5.0,4.7,7.2,5.0,,1
RA-134,2022,4,15.0,Menina,8.8,6.8,7.5,4.7,7.375,5.0,4.7,6.8,2.5,,1
RA-135,2022,4,15.0,Menina,8.3,7.8,5.6,8.6,8.583,5.0,8.0,8.2,9.5,,1
RA-136,2022,4,15.0,Menino,10.0,6.3,7.5,4.6,6.667,5.0,5.3,5.7,2.8,,1
RA-137,2022,4,17.0,Menina,7.5,8.9,5.0,7.3,7.792,2.5,6.0,7.3,8.5,,1
RA-138,2022,4,15.0,Menino,9.6,8.0,5.6,5.6,6.375,5.0,5.0,6.5,5.2,,1
RA-139,2022,4,17.0,Menino,7.1,3.5,5.0,1.4,3.917,2.5,1.7,2.7,0.0,,1
RA-140,2022,4,14.0,Menina,7.9,7.6,6.9,5.7,7.667,10.0,5.0,6.5,5.6,,0
RA-141,2022,4,14.0,Menino,9.2,8.2,5.6,5.7,5.917,10.0,5.8,6.2,5.0,,0
RA-142,2022,4,14.0,Menina,6.7,8.6,5.6,6.3,7.583,10.0,6.0,6.8,6.0,,0
RA-143,2022,4,13.0,Menino,8.3,9.9,5.6,7.9,9.5,10.0,9.7,7.7,6.4,,0
RA-144,2022,4,14.0,Menina,7.5,9.3,5.0,7.9,8.292,10.0,7.5,7.2,9.0,,0
RA-145,2022,4,16.0,Menino,0.0,6.3,8.1,5.2,7.25,5.0,3.0,4.8,7.8,,1
RA-146,2022,4,15.0,Menina,8.3,9.2,7.5,7.9,8.208,5.0,6.3,7.3,10.0,,1
RA-147,2022,4,14.0,Menina,8.3,7.7,7.5,6.1,7.25,10.0,5.8,4.8,7.7,,0
RA-148,2022,4,14.0,Menino,9.2,7.9,10.0,5.3,7.708,10.0,4.7,6.3,5.0,,0
RA-149,2022,4,15.0,Menina,9.2,6.5,7.5,5.0,6.125,5.0,4.0,6.0,,,1
RA-150,2022,4,16.0,Menina,9.6,6.3,6.9,6.9,7.333,5.0,5.3,6.7,8.6,,1
RA-151,2022,4,16.0,Menina,8.8,7.5,6.9,8.3,7.958,5.0,7.3,8.0,9.5,,1
RA-152,2022,4,16.0,Menina,8.3,7.0,7.5,6.5,6.292,5.0,4.0,7.0,8.5,,1
RA-153,2022,4,14.0,Menina,7.9,8.2,5.0,6.6,7.708,10.0,3.3,7.7,8.8,,0
RA-154,2022,4,15.0,Menino,8.3,6.1,6.3,4.0,6.833,5.0,3.7,6.2,2.1,,1
RA-155,2022,4,16.0,Menino,10.0,8.3,7.5,5.2,6.833,5.0,4.3,6.8,4.3,,1
RA-156,2022,4,15.0,Menino,10.0,8.3,9.4,4.4,7.792,5.0,4.7,6.5,2.1,,1
RA-157,2022,4,12.0,Menina,7.5,10.0,6.3,7.7,8.292,10.0,7.0,7.5,8.7,,0
RA-158,2022,4,17.0,Menina,7.9,9.8,5.6,6.6,8.125,2.5,5.0,6.7,8.1,,1
RA-159,2022,4,15.0,Menina,8.3,8.1,5.6,4.7,6.458,5.0,4.3,5.8,3.9,,1
RA-160,2022,4,15.0,Menina,7.5,7.2,5.6,5.3,8.25,5.0,2.7,6.0,7.1,,1
RA-161,2022,4,11.0,Menina,7.9,9.1,5.6,6.9,8.083,10.0,5.3,6.8,8.5,,0
RA-162,2022,4,14.0,Menina,6.7,8.5,7.5,5.5,6.542,10.0,4.7,5.5,6.4,,0
RA-163,2022,4,15.0,Menina,8.8,7.9,5.6,6.7,6.5,5.0,6.5,6.3,7.4,,1
RA-164,2022,4,16.0,Menino,8.3,7.3,5.6,6.5,7.208,5.0,4.7,6.5,8.3,,1
RA-165,2022,4,14.0,Menina,7.1,9.8,5.6,7.6,7.5,10.0,5.3,7.8,9.7,,0
RA-166,2022,4,14.0,Menino,9.2,9.0,6.3,8.1,7.542,10.0,7.0,7.2,10.0,,0
RA-167,2022,4,16.0,Menina,9.2,9.7,5.6,7.9,7.833,5.0,9.3,8.0,6.3,,1
RA-168,2022,4,15.0,Menina,7.9,8.3,6.3,5.9,7.083,5.0,4.7,8.2,5.0,,1
RA-169,2022,4,15.0,Menina,7.5,5.1,6.3,3.2,4.792,5.0,1.3,4.5,3.8,,1
RA-170,2022,4,14.0,Menina,8.3,9.2,5.6,4.9,5.792,10.0,3.7,6.7,4.3,,0
RA-171,2022,4,16.0,Menino,7.5,6.8,7.5,5.5,6.875,5.0,3.0,8.0,,,1
RA-172,2022,4,14.0,Menina,9.2,8.9,9.4,7.3,8.917,10.0,6.0,7.7,8.1,,0
RA-173,2022,4,17.0,Menino,8.3,9.2,6.9,7.9,9.25,2.5,9.0,7.5,7.1,,1
RA-174,2022,4,15.0,Menina,7.9,6.2,7.5,4.4,6.042,5.0,4.0,5.3,3.8,,1
RA-175,2022,4,15.0,Menina,8.3,9.2,5.6,5.9,5.833,5.0,4.7,7.2,5.9,,1
RA-176,2022,3,13.0,Menina,9.6,9.1,5.6,6.9,9.083,10.0,5.1,6.8,8.7,,0
RA-177,2022,3,13.0,Menina,7.9,8.8,4.4,6.8,6.958,10.0,6.0,7.5,,,0
RA-178,2022,3,13.0,Menina,0.0,8.8,4.4,6.3,8.458,10.0,6.2,5.3,7.3,,0
RA-179,2022,3,12.0,Menino,7.5,9.2,7.5,6.1,8.042,10.0,3.7,6.7,8.0,,0
RA-180,2022,3,12.0,Menino,9.2,8.3,6.3,8.1,8.625,10.0,7.7,8.3,8.3,,0
RA-181,2022,3,13.0,Menina,9.2,9.5,8.8,6.8,8.458,10.0,6.8,7.3,6.2,,0
RA-182,2022,3,16.0,Menina,7.5,8.0,7.5,4.1,6.958,2.5,1.3,5.7,5.4,,1
RA-183,2022,3,13.0,Menina,8.3,8.8,7.5,3.8,7.25,10.0,0.0,7.5,,,0
RA-184,2022,3,16.0,Menino,8.8,7.7,7.5,7.2,8.0,2.5,5.0,7.3,9.3,,1
RA-185,2022,3,15.0,Menino,7.9,7.7,7.5,4.5,6.875,5.0,3.3,5.7,4.5,,1
RA-186,2022,3,13.0,Menina,8.3,8.5,7.5,6.6,7.5,10.0,6.0,5.7,8.0,,0
RA-187,2022,3,12.0,Menina,8.8,8.9,7.5,5.8,7.917,10.0,5.3,7.2,4.8,,0
RA-188,2022,3,14.0,Menino,0.0,6.1,7.5,2.7,7.583,5.0,3.0,3.2,2.0,,1
RA-189,2022,3,14.0,Menino,10.0,9.7,5.0,7.2,7.333,5.0,6.3,7.2,8.0,,1
RA-190,2022,3,13.0,Menina,6.7,6.9,8.8,6.3,7.25,10.0,5.0,7.5,,,0
RA-191,2022,3,13.0,Menino,10.0,9.4,8.8,7.2,8.5,10.0,8.0,7.2,6.3,,0
RA-192,2022,3,15.0,Menino,8.8,3.6,7.5,2.7,4.708,5.0,1.7,4.7,1.7,,1
RA-193,2022,3,12.0,Menino,9.2,8.9,5.6,6.7,8.5,10.0,5.0,6.3,8.7,,0
RA-194,2022,3,14.0,Menina,0.0,6.2,5.0,3.2,3.75,5.0,3.7,5.8,0.0,,1
RA-195,2022,3,13.0,Menina,8.8,9.2,5.0,6.3,8.25,10.0,6.8,6.3,5.8,,0
RA-196,2022,3,12.0,Menino,9.2,9.1,7.5,5.1,8.625,10.0,4.0,6.0,5.3,,0
RA-197,2022,3,13.0,Menina,8.8,9.7,4.4,7.3,8.292,10.0,6.0,7.5,8.3,,0
RA-198,2022,3,13.0,Menino,0.0,6.2,5.0,4.6,5.958,10.0,5.2,5.8,2.8,,0
RA-199,2022,3,13.0,Menino,8.3,7.1,7.5,7.5,6.458,10.0,5.7,7.8,9.0,,0
RA-200,2022,3,15.0,Menino,7.9,5.6,4.4,5.5,4.917,5.0,4.7,5.0,6.8,,1
RA-201,2022,3,15.0,Menina,7.9,7.3,7.5,6.5,7.542,5.0,6.0,7.2,6.3,,1
RA-202,2022,3,14.0,Menina,0.0,5.2,4.4,5.4,6.917,5.0,6.3,5.8,4.2,,1
RA-203,2022,3,14.0,Menina,8.8,4.3,7.5,2.8,6.875,5.0,2.3,3.5,2.5,,1
RA-204,2022,3,13.0,Menina,7.9,6.7,4.4,7.4,5.708,10.0,5.3,8.5,8.5,,0
RA-205,2022,3,14.0,Menino,9.6,3.8,7.5,4.1,4.833,5.0,5.7,1.7,5.0,,1
RA-206,2022,3,12.0,Menina,8.3,8.8,7.5,5.0,5.167,10.0,4.0,6.0,,,0
RA-207,2022,3,16.0,Menino,0.0,4.8,7.5,5.8,5.708,2.5,5.3,4.0,8.0,,1
RA-208,2022,3,14.0,Menino,7.5,7.1,7.5,6.1,6.417,5.0,5.0,7.5,5.8,,1
RA-209,2022,3,14.0,Menino,0.0,4.8,5.6,6.0,3.75,5.0,5.0,5.2,7.8,,1
RA-210,2022,3,14.0,Menino,0.0,5.1,7.5,3.4,4.417,5.0,2.7,5.3,2.3,,1
RA-211,2022,3,13.0,Menino,9.2,8.8,7.5,7.6,8.458,10.0,6.7,7.5,8.5,,0
RA-212,2022,3,14.0,Menino,9.6,8.4,7.5,6.2,6.958,5.0,4.8,5.8,7.8,,1
RA-213,2022,3,13.0,Menino,9.6,8.7,7.5,3.5,6.833,10.0,5.0,2.0,,,0
RA-214,2022,3,15.0,Menino,0.0,6.1,7.5,4.3,5.125,5.0,5.0,3.5,,,1
RA-215,2022,3,13.0,Menina,6.7,5.8,7.5,7.8,6.542,10.0,5.7,7.7,10.0,,0
RA-216,2022,3,13.0,Menina,7.9,8.5,7.5,7.0,5.583,10.0,5.3,6.5,9.2,,0
RA-217,2022,3,15.0,Menina,7.9,8.5,7.5,7.1,7.292,5.0,6.3,7.2,7.7,,1
RA-218,2022,3,14.0,Menina,6.3,7.3,7.5,4.0,6.125,5.0,5.0,7.0,0.0,,1
RA-219,2022,3,16.0,Menino,8.8,6.9,7.5,3.5,6.375,2.5,4.0,4.8,1.7,,1
RA-220,2022,3,13.0,Menina,0.0,8.1,7.5,6.5,7.833,10.0,6.8,6.8,5.8,,0
RA-221,2022,3,14.0,Menino,9.6,8.5,7.5,5.2,6.0,5.0,7.0,3.5,5.0,,1
RA-222,2022,3,15.0,Menina,7.1,4.6,7.5,6.2,4.917,5.0,5.0,7.5,6.0,,1
RA-223,2022,3,13.0,Menina,0.0,4.6,7.5,3.1,5.583,10.0,4.3,4.7,0.2,,0
RA-224,2022,3,13.0,Menino,9.6,4.3,7.5,2.6,4.875,10.0,5.0,2.7,0.0,,0
RA-225,2022,3,14.0,Menino,8.3,5.3,7.5,5.0,5.708,5.0,3.0,7.0,,,1
RA-226,2022,3,14.0,Menina,7.5,6.1,7.5,6.8,6.208,5.0,7.0,6.5,,,1
RA-227,2022,3,12.0,Menino,9.2,6.4,7.5,3.3,5.833,10.0,4.7,4.3,1.0,,0
RA-228,2022,3,15.0,Menina,7.5,6.7,7.5,4.8,6.417,5.0,3.0,6.0,5.3,,1
RA-229,2022,3,12.0,Menino,10.0,9.4,7.5,6.9,8.5,10.0,7.0,6.7,7.2,,0
RA-230,2022,3,14.0,Menino,7.9,5.1,7.5,5.7,6.75,5.0,3.7,4.3,9.0,,1
RA-231,2022,3,14.0,Menino,8.8,7.4,7.5,3.8,5.333,5.0,3.0,4.5,,,1
RA-232,2022,3,12.0,Menino,0.0,4.9,7.5,0.0,4.542,10.0,0.0,0.0,,,0
RA-233,2022,3,14.0,Menino,7.9,7.4,7.5,3.8,5.5,5.0,3.0,4.5,,,1
RA-234,2022,3,13.0,Menino,10.0,7.6,5.6,4.3,5.583,10.0,3.7,6.3,2.8,,0
RA-235,2022,3,14.0,Menina,8.3,7.3,7.5,6.3,6.417,5.0,7.0,5.5,,,1
RA-236,2022,3,12.0,Menina,9.6,7.5,7.5,3.7,7.208,10.0,4.0,4.0,3.0,,0
RA-237,2022,3,14.0,Menina,10.0,9.0,7.5,7.8,8.417,5.0,6.8,7.7,8.8,,1
RA-238,2022,3,14.0,Menina,8.8,6.4,5.0,5.1,7.208,5.0,4.3,6.5,4.5,,1
RA-239,2022,3,15.0,Menina,0.0,3.7,7.5,3.7,5.958,5.0,2.0,4.7,4.5,,1
RA-240,2022,3,13.0,Menina,7.1,8.1,5.0,4.7,7.042,10.0,6.3,5.0,2.8,,0
RA-241,2022,3,14.0,Menino,10.0,10.0,7.5,7.7,9.125,5.0,8.2,7.5,7.3,,1
RA-242,2022,3,13.0,Menino,9.6,9.7,5.6,8.2,8.708,10.0,8.7,7.2,8.7,,0
RA-243,2022,3,15.0,Menina,7.1,8.7,5.0,6.0,7.875,5.0,5.0,5.3,7.7,,1
RA-244,2022,3,12.0,Menina,7.5,9.4,6.3,7.8,9.208,10.0,6.7,8.0,8.7,,0
